ae_id,drug,reports,date
10012735.0,drugname_1,986.0,2024-06-13
10055798.0,drugname_1,93.0,2024-06-13
10020772.0,drugname_1,85.0,2024-06-13
10029354.0,drugname_1,30.0,2024-06-13
10002034.0,drugname_1,16.0,2024-06-13
10003239.0,drugname_1,920.0,2024-06-13
10003658.0,drugname_1,689.0,2024-06-13
10050584.0,drugname_1,244.0,2024-06-13
10072268.0,drugname_1,559.0,2024-06-13
10019211.0,drugname_1,699.0,2024-06-13
10019851.0,drugname_1,25.0,2024-06-13
10021789.0,drugname_1,348.0,2024-06-13
10025280.0,drugname_1,806.0,2024-06-13
10034754.0,drugname_1,378.0,2024-06-13
10035664.0,drugname_1,26.0,2024-06-13
10037844.0,drugname_1,63.0,2024-06-13
10043554.0,drugname_1,820.0,2024-06-13
10046306.0,drugname_1,323.0,2024-06-13
10000081.0,drugname_1,17.0,2024-06-13
10001551.0,drugname_1,212.0,2024-06-13
10003119.0,drugname_1,730.0,2024-06-13
10003481.0,drugname_1,566.0,2024-06-13
10003549.0,drugname_1,554.0,2024-06-13
10003662.0,drugname_1,775.0,2024-06-13
10051313.0,drugname_1,599.0,2024-06-13
10003988.0,drugname_1,962.0,2024-06-13
10005364.0,drugname_1,891.0,2024-06-13
10005483.0,drugname_1,297.0,2024-06-13
10005595.0,drugname_1,753.0,2024-06-13
10005600.0,drugname_1,512.0,2024-06-13
10060360.0,drugname_1,388.0,2024-06-13
10007269.0,drugname_1,868.0,2024-06-13
10061024.0,drugname_1,367.0,2024-06-13
10072043.0,drugname_1,182.0,2024-06-13
10010774.0,drugname_1,685.0,2024-06-13
10011224.0,drugname_1,593.0,2024-06-13
10066274.0,drugname_1,789.0,2024-06-13
10011906.0,drugname_1,607.0,2024-06-13
10013573.0,drugname_1,463.0,2024-06-13
10013968.0,drugname_1,600.0,2024-06-13
10014080.0,drugname_1,87.0,2024-06-13
10014581.0,drugname_1,906.0,2024-06-13
10015090.0,drugname_1,432.0,2024-06-13
10016256.0,drugname_1,570.0,2024-06-13
10016288.0,drugname_1,557.0,2024-06-13
10017533.0,drugname_1,117.0,2024-06-13
10018852.0,drugname_1,254.0,2024-06-13
10018867.0,drugname_1,371.0,2024-06-13
10018884.0,drugname_1,725.0,2024-06-13
10058827.0,drugname_1,756.0,2024-06-13
10021015.0,drugname_1,273.0,2024-06-13
10021425.0,drugname_1,262.0,2024-06-13
10021688.0,drugname_1,460.0,2024-06-13
10024384.0,drugname_1,944.0,2024-06-13
10025256.0,drugname_1,405.0,2024-06-13
10028334.0,drugname_1,955.0,2024-06-13
